device,name,kind,m,n,k,numOp,time_us,energy_J,energy_offchip_pJ,energy_L2_pJ,energy_L1_pJ,energy_reg_pJ,energy_alu_pJ,energy_link_pJ
GPU,ff3,FC,595,4096,10922.666666666666,1,239.96258461538463,0.02726381944832,3083112065.7066665,1654187622.3999999,8617648455.68,5390519500.8,8518351803.733333,0
GPU,norm2,NORM,595,4096,1,1,17.72361794749403,0.00047671285760000003,419964518.4,35094528.0,18717081.6,987033.6000000001,1949696.0,0
GPU,score,MATMUL,595,3420,128,32,225.4043076923077,0.01092705168,4684935065.599999,657607680.0,2864580198.4,52744608.0,2667184128.0,0
GPU,softmax,SOFTMAX,595,3420,1,32,308.5346062052506,0.008508812256,7480617984.0,625121280.0,333398016.0,17581536.0,52093440.0,0
GPU,context,MATMUL,595,128,3420,32,225.4043076923077,0.010566162950399999,4684935065.599999,458738688.0,2702560460.8,52744608.0,2667184128.0,0
PIM,score,MATMUL,595,3420,128,32,670.2773180000008,0.023369782016,20702597888.0,0,0,0,2667184128.0,0
PIM,softmax,SOFTMAX,595,3420,1,32,97.13126491646779,5.297902848e-05,885588.48,0,0,0,52093440.0,0
GPU,comm_x2g,X2G,595,4096,1,1,16.247466666666668,5.0692096e-05,0,0,0,0,0,50692096.0
GPU,comm_x2g,X2G,3362,4096,1,1,91.80501333333333,0.00028643164160000004,0,0,0,0,0,286431641.6
GPU,qkv,FC,595,12288,4096,1,269.9579076923077,0.030313588981760002,3451002552.3199997,1508553523.2,9706552688.64,6064334438.400001,9583145779.2,0
GPU,comm_x2g,X2G,2825,8192,1,1,154.28266666666667,0.00048136192,0,0,0,0,0,481361920.0
GPU,comm_x2g,X2G,595,8192,1,1,32.494933333333336,0.000101384192,0,0,0,0,0,101384192.0
GPU,qkv,FC,3458,12288,4096,1,1412.0386560000002,0.16159955484672,7772519792.639999,6971051212.8,55916510576.64,35244484853.76,55694988410.880005,0
GPU,proj,FC,3458,4096,4096,1,480.4384581818182,0.05388876120064,2590839930.88,2345926656.0,18638836858.88,11748161617.92,18564996136.96,0
GPU,comm_g2g,G2G,3458,4096,1,1,0.0,0.00029461053440000005,0,0,0,0,0,294610534.40000004
GPU,norm1,NORM,3458,4096,1,1,69.94867371837708,0.00277054296064,2440734965.7599998,203961139.2,108779274.24000001,5736407.04,11331174.4,0
GPU,ff1,FC,3458,10922.666666666666,4096,1,1281.1692218181818,0.14333605227178664,6366520934.399999,6418792447.999999,49715651543.03999,31328430981.12,49506656365.22666,0
