case_id,variant,layer,operation,bytes,standalone_us,energy_J
Fugue-asplos-EPIC-shared-readers-B1,F2,28,KV_export,131645440,438.8181333333334,0.0013691125759999999
Fugue-asplos-EPIC-shared-readers-B1,F2,28,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,28,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,29,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F2,29,KV_export,131645440,438.8181333333334,0.0013691125759999999
Fugue-asplos-EPIC-shared-readers-B1,F2,29,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,29,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,30,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F2,30,KV_export,131645440,438.8181333333334,0.0013691125759999999
Fugue-asplos-EPIC-shared-readers-B1,F2,30,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,30,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,31,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F2,31,KV_export,131645440,438.8181333333334,0.0013691125759999999
Fugue-asplos-EPIC-shared-readers-B1,F2,31,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,31,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F3,0,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F3,0,KV_export,3080192,10.267306666666666,3.20339968e-05
Fugue-asplos-EPIC-shared-readers-B1,F3,0,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F3,0,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F3,1,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F3,1,KV_export,3080192,10.267306666666666,3.20339968e-05
Fugue-asplos-EPIC-shared-readers-B1,F3,1,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F3,1,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F3,2,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F3,2,KV_export,3080192,10.267306666666666,3.20339968e-05
Fugue-asplos-EPIC-shared-readers-B1,F3,2,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F3,2,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F3,3,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F3,3,KV_export,3080192,10.267306666666666,3.20339968e-05
Fugue-asplos-EPIC-shared-readers-B1,F3,3,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F3,3,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F3,4,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F3,4,KV_export,3080192,10.267306666666666,3.20339968e-05
Fugue-asplos-EPIC-shared-readers-B1,F3,4,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F3,4,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F3,5,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F3,5,KV_export,3080192,10.267306666666666,3.20339968e-05
Fugue-asplos-EPIC-shared-readers-B1,F3,5,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F3,5,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F3,6,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F3,6,KV_export,3080192,10.267306666666666,3.20339968e-05
Fugue-asplos-EPIC-shared-readers-B1,F3,6,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F3,6,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F3,7,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F3,7,KV_export,3080192,10.267306666666666,3.20339968e-05
Fugue-asplos-EPIC-shared-readers-B1,F3,7,Q_input,0,0.0,0.0
