model,workload_id,variant,TTFT_ms,TBT_ms,E2E_ms,F0_E2E_ms,decode_steps,decode_total_ms,output_tokens,batch,valid,displayed
MT-76B,KVChime-CB-musique-0075,F4,539.9265970062833,17.854085888856886,1093.403259560847,3706.8463373022078,31,553.4766625545635,32,1,true,true
LLAMA-7B,KVChime-EPIC-chunk2048-target32000-B2-N32034,F0,15746.882452953014,25.717536196636885,16132.645495902567,16132.645495902567,15,385.76304294955327,16,2,true,true
LLAMA-7B,KVChime-EPIC-chunk2048-target32000-B2-N32034,F1,212.1557522949202,25.717536196636885,597.9187952444735,16132.645495902567,15,385.76304294955327,16,2,true,true
LLAMA-7B,KVChime-EPIC-chunk2048-target32000-B2-N32034,F2,245.67154609380268,7.258782368875475,354.5532816269348,16132.645495902567,15,108.88173553313213,16,2,true,true
LLAMA-7B,KVChime-EPIC-chunk2048-target32000-B2-N32034,F4,180.8200090228593,7.565887851542142,294.30832679599143,16132.645495902567,15,113.48831777313212,16,2,true,true
GPT-13B,KVChime-EPIC-chunk2048-target32000-B2-N32034,F0,22096.699215607787,35.08828368792606,22623.023470926677,22623.023470926677,15,526.3242553188909,16,2,true,true
GPT-13B,KVChime-EPIC-chunk2048-target32000-B2-N32034,F1,318.6472867666754,35.08828368792606,844.9715420855663,22623.023470926677,15,526.3242553188909,16,2,true,true
GPT-13B,KVChime-EPIC-chunk2048-target32000-B2-N32034,F2,395.5316994152786,12.047614958037334,576.2459237858386,22623.023470926677,15,180.71422437056,16,2,true,true
GPT-13B,KVChime-EPIC-chunk2048-target32000-B2-N32034,F4,251.78034799526273,12.436412011370669,438.32652816582277,22623.023470926677,15,186.54618017056004,16,2,true,true
LLAMA-65B,KVChime-EPIC-chunk2048-target32000-B2-N32034,F0,40565.77095979213,67.6398020447632,41580.36799046358,41580.36799046358,15,1014.597030671448,16,2,true,true
LLAMA-65B,KVChime-EPIC-chunk2048-target32000-B2-N32034,F1,400.8834372419852,67.6398020447632,1415.4804679134331,41580.36799046358,15,1014.597030671448,16,2,true,true
LLAMA-65B,KVChime-EPIC-chunk2048-target32000-B2-N32034,F2,400.8834372419852,21.36182325610747,721.3107860835972,41580.36799046358,15,320.42734884161206,16,2,true,true
LLAMA-65B,KVChime-EPIC-chunk2048-target32000-B2-N32034,F4,400.8834372419852,22.109926162774144,732.5323296835973,41580.36799046358,15,331.64889244161213,16,2,true,true
