model,config,rung,makespan_s,energy_nj,kv_mapping,pim_prefill_mode,link_bytes,event_count
LLAMA-7B,private_k8,A4b,32.976629783343434,2841215841891.773,master-diff,gpu,159134007808,7653824
LLAMA-7B,private_k8,A6,32.25296401876687,2688823530276.3735,master-diff,dynamic,159134007808,7653824
LLAMA3-8B,private_k8,A3b,33.96096630127575,3117285699718.44,naive,gpu,159134007808,8985760
LLAMA3-8B,private_k8,A4b,34.59205029212536,3116876115537.826,master-diff,gpu,159134007808,8767936
LLAMA3-8B,private_k8,A6,33.74729269377618,2964483804061.6533,master-diff,dynamic,159134007808,8767936
GPT-13B,reduce_k8,A3b,6.978636270566141,1215566835855.5369,naive,gpu,39887668256,4003042
GPT-13B,reduce_k8,A4b,6.980146301964507,1215518574579.2,master-diff,gpu,39887668256,3930842
GPT-13B,reduce_k8,A5,6.057013302559125,1066544666871.7664,master-diff,pim,12970394656,5240962
GPT-13B,reduce_k8,A6,6.057013302559125,1066544666871.7664,master-diff,dynamic,12970394656,5240962
GPT-175B,reduce_k8,A3b,27.940910402224528,12321715417899.967,naive,gpu,57438241824,8724098
GPT-175B,reduce_k8,A4b,27.92966015271963,12321682536519.23,master-diff,gpu,57438241824,8649122
GPT-175B,reduce_k8,A5,25.794453042819818,11932767162345.46,master-diff,pim,18677367840,11793410
GPT-175B,reduce_k8,A6,25.794453042819818,11932767162345.46,master-diff,dynamic,18677367840,11793410
LLAMA-33B,reduce_k8,A3b,15.736409275722536,2936322817543.0723,naive,gpu,77780952096,6879182
LLAMA-33B,reduce_k8,A4b,15.535945082647643,2936315022781.2275,master-diff,gpu,77780952096,6924482
LLAMA-33B,reduce_k8,A5,14.152026165125934,2612961264275.6777,master-diff,pim,25292268576,8889662
LLAMA-33B,reduce_k8,A6,14.152026165125934,2612961264275.6777,master-diff,dynamic,25292268576,8889662
LLAMA-65B,reduce_k8,A3b,15.93802220672688,4759688236095.064,naive,gpu,31910134816,6719762
LLAMA-65B,reduce_k8,A4b,15.92534307865163,4759638881473.425,master-diff,gpu,31910134816,6616322
LLAMA-65B,reduce_k8,A5,14.18481385875978,4543194630345.928,master-diff,pim,10376315936,9236562
LLAMA-65B,reduce_k8,A6,14.18481385875978,4543194630345.928,master-diff,dynamic,10376315936,9236562
LLAMA-7B,reduce_k8,A3b,8.34449915024746,873181477235.5817,naive,gpu,51056215072,4376482
LLAMA-7B,reduce_k8,A4b,8.598874818036245,873134237337.1589,master-diff,gpu,51056215072,4089346
LLAMA-7B,reduce_k8,A5,7.892501809564851,707745705406.1147,master-diff,pim,16602104864,5137442
LLAMA-7B,reduce_k8,A6,7.293940532752277,585282093190.3737,master-diff,dynamic,51056215072,4089346
LLAMA3-8B,reduce_k8,A3b,9.123936048307648,961491370713.1918,naive,gpu,51056215072,5142434
LLAMA3-8B,reduce_k8,A4b,9.492866336151593,961428732412.9564,master-diff,gpu,51056215072,4872194
LLAMA3-8B,reduce_k8,A5,8.536132882141644,751067238797.1918,master-diff,pim,16602104864,7520898
LLAMA3-8B,reduce_k8,A6,7.923579921831981,642256935104.6901,master-diff,dynamic,51056215072,4872194
GPT-13B,supervisor_k8,A3b,12.8525950369819,2355234573506.8247,naive,gpu,84203949088,10569506
GPT-13B,supervisor_k8,A4b,12.868083752200118,2354123864298.184,master-diff,gpu,84203949088,9964866
GPT-13B,supervisor_k8,A5,11.301813855342477,2015059607844.2346,master-diff,pim,21215661088,12051786
GPT-13B,supervisor_k8,A6,11.301813855342477,2015059607844.2346,master-diff,dynamic,21215661088,12051786
