model,workload_id,variant,TTFT_ms,TBT_ms,E2E_ms,simultaneous_peak_KV_GiB,output_tokens,batch,source_sha256
OPT-66B,KVChime-LongMemEval-oracle-d851d5ba,F2,139.28876000408664,20.4607908149941,446.20062222899816,69.94198608398438,16,1,39895559bcbd5f18930566468553281cc8f1521142402e40586898d7f62d65c9
OPT-66B,KVChime-LongMemEval-oracle-d851d5ba,F4,90.54089068972655,20.50043559792743,398.0474246586381,34.96072769165039,16,1,39895559bcbd5f18930566468553281cc8f1521142402e40586898d7f62d65c9
MT-76B,KVChime-EPIC-chunk2048-target8000-B1-N8026,F0,2868.402620006419,26.446084715415417,3265.0938907376503,18.404388427734375,16,1,5e21ba15859aae2290f32386d5fdf8053364d91654bfb679735caf71d4277889
MT-76B,KVChime-EPIC-chunk2048-target8000-B1-N8026,F1,53.612722461102344,26.446084715415417,450.3039931923336,36.774444580078125,16,1,5e21ba15859aae2290f32386d5fdf8053364d91654bfb679735caf71d4277889
MT-76B,KVChime-EPIC-chunk2048-target8000-B1-N8026,F2,53.612722461102344,17.719549796427348,319.4059694075126,37.04627990722656,16,1,5e21ba15859aae2290f32386d5fdf8053364d91654bfb679735caf71d4277889
MT-76B,KVChime-EPIC-chunk2048-target8000-B1-N8026,F4,31.229990423410364,17.74137545642735,297.3506222698206,18.53717803955078,16,1,5e21ba15859aae2290f32386d5fdf8053364d91654bfb679735caf71d4277889
MT-76B,KVChime-EPIC-chunk2048-target8000-B4-N8028,F0,7079.232915958851,26.525332572176893,7477.112904541504,73.6358642578125,16,4,e68fb7e05187ffcf76f0c6a49594e57dbfc0fd4cf755c1b2b1f127e4e8877e82
MT-76B,KVChime-EPIC-chunk2048-target8000-B4-N8028,F1,131.84915538228793,26.525332572176893,529.7291439649414,92.0928955078125,16,4,e68fb7e05187ffcf76f0c6a49594e57dbfc0fd4cf755c1b2b1f127e4e8877e82
MT-76B,KVChime-EPIC-chunk2048-target8000-B4-N8028,F2,179.4324683189719,17.852024330249616,447.2128332727161,93.1805419921875,16,4,e68fb7e05187ffcf76f0c6a49594e57dbfc0fd4cf755c1b2b1f127e4e8877e82
MT-76B,KVChime-EPIC-chunk2048-target8000-B4-N8028,F4,96.21056265520103,18.120042218249615,368.0111959289452,19.143829345703125,16,4,e68fb7e05187ffcf76f0c6a49594e57dbfc0fd4cf755c1b2b1f127e4e8877e82
MT-76B,KVChime-CB-musique-0075,F0,2884.671337966952,26.521774172105026,3706.8463373022078,18.569183349609375,32,1,e8369e0db32b010047fab3fa7922c55025a6e6c2e83d22126d5aec777b5b7928
MT-76B,KVChime-CB-musique-0075,F1,540.1263428041302,26.521774172105026,1362.3013421393862,37.067413330078125,32,1,e8369e0db32b010047fab3fa7922c55025a6e6c2e83d22126d5aec777b5b7928
MT-76B,KVChime-CB-musique-0075,F2,540.1263428041302,17.724590320835386,1089.588642750027,37.30476379394531,32,1,e8369e0db32b010047fab3fa7922c55025a6e6c2e83d22126d5aec777b5b7928
MT-76B,KVChime-CB-musique-0075,F4,539.9265970062833,17.854085888856886,1093.4032595608467,22.39013671875,32,1,e8369e0db32b010047fab3fa7922c55025a6e6c2e83d22126d5aec777b5b7928
MT-76B,KVChime-EPIC-chunk2048-target32000-B2-N32034,F0,34226.52027642714,54.864719676513836,35049.49107157484,146.70867919921875,16,2,45aa681c1d1f32f7bb4c8fc836e422d821e5c0fd280f3dbed186ad7b2cfa8317
MT-76B,KVChime-EPIC-chunk2048-target32000-B2-N32034,F1,349.34614335498225,54.864719676513836,1172.31693850269,220.05615234375,16,2,45aa681c1d1f32f7bb4c8fc836e422d821e5c0fd280f3dbed186ad7b2cfa8317
MT-76B,KVChime-EPIC-chunk2048-target32000-B2-N32034,F2,349.34614335498225,20.180815751131824,652.0583796219596,222.43148803710938,16,2,45aa681c1d1f32f7bb4c8fc836e422d821e5c0fd280f3dbed186ad7b2cfa8317
MT-76B,KVChime-EPIC-chunk2048-target32000-B2-N32034,F4,349.34614335498225,20.745579331131825,660.5298333219597,76.65206909179688,16,2,45aa681c1d1f32f7bb4c8fc836e422d821e5c0fd280f3dbed186ad7b2cfa8317
MT-76B,KVChime-LongMemEval-oracle-d851d5ba,F0,8412.334831200431,35.6778331360247,8947.5023282408,36.270904541015625,16,1,b954f6877e7e58021275fe9080ff84d58e2f854430c876afd709f218a4dd4595
MT-76B,KVChime-LongMemEval-oracle-d851d5ba,F1,122.64978096476516,35.6778331360247,657.8172780051357,72.32437133789062,16,1,b954f6877e7e58021275fe9080ff84d58e2f854430c876afd709f218a4dd4595
MT-76B,KVChime-LongMemEval-oracle-d851d5ba,F2,122.64978096476516,18.45306027012663,399.4456850166647,72.89398193359375,16,1,b954f6877e7e58021275fe9080ff84d58e2f854430c876afd709f218a4dd4595
MT-76B,KVChime-LongMemEval-oracle-d851d5ba,F4,82.381350700691,18.48981765412663,359.72861551259047,36.41742706298828,16,1,b954f6877e7e58021275fe9080ff84d58e2f854430c876afd709f218a4dd4595
