model,config,k,rung,tier,start_s,end_s,duration_s,requests,prefill_end_s,first_token_s,prefill_s,decode_s
GPT-13B,D-hi,8,A3,0,0.0,8.91762639648283,8.91762639648283,16,1.8722822523303029,1.8997730638437977,1.8722822523303029,7.045344144152528
GPT-13B,D-hi,8,A3,1,8.91762639648283,22.188801208222756,13.271174811739925,16,11.580191125061305,11.62150639533411,2.6625647285784737,10.608610083161452
GPT-13B,D-hi,8,A3,2,22.188801208222756,35.654543984662276,13.46574277643952,16,24.893160817168493,24.934935836443675,2.7043596089457367,10.761383167493783
GPT-13B,D-hi,8,A3,3,35.654543984662276,49.282145730324814,13.627601745662538,16,38.40069847392193,38.44308687216018,2.746154489259652,10.881447256402886
GPT-13B,D-hi,8,A3a,0,0.0,8.91762639648283,8.91762639648283,16,1.8722822523303029,1.8997730638437977,1.8722822523303029,7.045344144152528
GPT-13B,D-hi,8,A3a,1,8.91762639648283,20.90177486823854,11.98414847175571,16,11.580191125061305,11.616575842693381,2.6625647285784737,9.321583743177236
GPT-13B,D-hi,8,A3a,2,20.90177486823854,33.04895796024467,12.14718309200613,16,23.606134477184277,23.64299228341749,2.7043596089457367,9.442823483060394
GPT-13B,D-hi,8,A3a,3,33.04895796024467,45.36089383739243,12.31193587714776,16,35.79511244950432,35.832451593223716,2.746154489259652,9.565781387888109
GPT-13B,D-hi,8,A3b,0,0.0,8.771363965683813,8.771363965683813,16,1.8722822523303029,1.8992017257243339,1.8722822523303029,6.89908171335351
GPT-13B,D-hi,8,A3b,1,8.771363965683813,21.731209211497536,12.959845245813723,16,11.433928694262287,11.474027833422621,2.6625647285784737,10.297280517235249
GPT-13B,D-hi,8,A3b,2,21.731209211497536,34.86329804296319,13.132088831465651,16,24.435568820443272,24.476127708598877,2.7043596089457367,10.427729222519915
GPT-13B,D-hi,8,A3b,3,34.86329804296319,48.14313364444821,13.279835601485026,16,37.60945253222284,37.650459433567036,2.746154489259652,10.533681112225374
GPT-13B,D-hi,8,A4,0,0.0,8.847505969383384,8.847505969383384,16,1.8654178009413453,1.8926623151753474,1.8654178009413453,6.982088168442039
GPT-13B,D-hi,8,A4,1,8.847505969383384,20.500974199809836,11.653468230426451,16,11.500141006255255,11.535272404189667,2.652635036871871,9.00083319355458
GPT-13B,D-hi,8,A4,2,20.500974199809836,32.312673358669905,11.811699158860069,16,23.195196496585712,23.230782567640713,2.6942222967758767,9.117476862084192
GPT-13B,D-hi,8,A4,3,32.312673358669905,44.28259638648617,11.969923027816264,16,35.04848291534383,35.08452679454043,2.735809556673928,9.234113471142336
GPT-13B,D-hi,8,A4b,0,0.0,8.80523642183576,8.80523642183576,16,1.8654178009413453,1.892497199755433,1.8654178009413453,6.939818620894415
GPT-13B,D-hi,8,A4b,1,8.80523642183576,20.51959293159004,11.71435650975428,16,11.457871458707631,11.493240701480907,2.652635036871871,9.06172147288241
GPT-13B,D-hi,8,A4b,2,20.51959293159004,32.39218037037587,11.872587438785828,16,23.213815228365917,23.24963914426433,2.6942222967758767,9.178365142009952
GPT-13B,D-hi,8,A4b,3,32.39218037037587,44.4229916771596,12.030811306783733,16,35.127989927049796,35.16427165108611,2.735809556673928,9.295001750109805
GPT-13B,D-hi,8,A5,0,0.0,5.69757369080832,5.69757369080832,16,1.6200946333207102,1.6359930182148459,1.6200946333207102,4.07747905748761
GPT-13B,D-hi,8,A5,1,5.69757369080832,15.053386087828706,9.355812397020387,16,9.50812812960567,9.529761186779135,3.8105544387973493,5.545257958223036
