model,config,k,rung,tier,start_s,end_s,duration_s,requests
GPT-13B,supervisor,8,A3,3,14.05067329771536,22.119370426915197,8.068697129199837,16
GPT-13B,supervisor,8,A3a,0,0.0,3.2532936786288476,3.2532936786288476,1
GPT-13B,supervisor,8,A3a,1,3.2532936786288476,10.9946450779737,7.741351399344853,16
GPT-13B,supervisor,8,A3a,2,10.9946450779737,13.989092691464846,2.994447613491145,1
GPT-13B,supervisor,8,A3a,3,13.989092691464846,21.994462793477272,8.005370102012426,16
GPT-13B,supervisor,8,A3b,0,0.0,3.2294467739862918,3.2294467739862918,1
GPT-13B,supervisor,8,A3b,1,3.2294467739862918,10.876765494897974,7.647318720911683,16
GPT-13B,supervisor,8,A3b,2,10.876765494897974,13.837502695003272,2.9607372001052976,1
GPT-13B,supervisor,8,A3b,3,13.837502695003272,21.748439862601284,7.9109371675980125,16
GPT-13B,supervisor,8,A4,0,0.0,3.2287392298072897,3.2287392298072897,1
GPT-13B,supervisor,8,A4,1,3.2287392298072897,10.894564371237532,7.6658251414302425,16
GPT-13B,supervisor,8,A4,2,10.894564371237532,13.847867404863038,2.953303033625506,1
GPT-13B,supervisor,8,A4,3,13.847867404863038,21.768674210949335,7.920806806086297,16
GPT-13B,supervisor,8,A4b,0,0.0,3.2285188102895352,3.2285188102895352,1
GPT-13B,supervisor,8,A4b,1,3.2285188102895352,10.852074404218305,7.62355559392877,16
GPT-13B,supervisor,8,A4b,2,10.852074404218305,13.805157018310377,2.9530826140920716,1
GPT-13B,supervisor,8,A4b,3,13.805157018310377,21.68369427707355,7.878537258763172,16
GPT-13B,supervisor,8,A5,0,0.0,3.2285188102895352,3.2285188102895352,1
GPT-13B,supervisor,8,A5,1,3.2285188102895352,7.7374681813718915,4.508949371082356,16
GPT-13B,supervisor,8,A5,2,7.7374681813718915,11.323029797242667,3.585561615870775,1
GPT-13B,supervisor,8,A5,3,11.323029797242667,16.071439101087858,4.748409303845191,16
GPT-13B,supervisor,8,A6,0,0.0,3.2285188102895352,3.2285188102895352,1
GPT-13B,supervisor,8,A6,1,3.2285188102895352,7.7374681813718915,4.508949371082356,16
GPT-13B,supervisor,8,A6,2,7.7374681813718915,11.323029797242667,3.585561615870775,1
GPT-13B,supervisor,8,A6,3,11.323029797242667,16.071439101087858,4.748409303845191,16
GPT-175B,C-hi,8,A2,0,0.0,294.76145281222034,294.76145281222034,16
GPT-175B,C-hi,8,A2,1,294.76145281222034,653.0500327608348,358.2885799486145,16
GPT-175B,C-hi,8,A3,0,0.0,37.8281288471326,37.8281288471326,16
GPT-175B,C-hi,8,A3,1,37.8281288471326,84.40681704992907,46.57868820279648,16
GPT-175B,C-hi,8,A3a,0,0.0,37.8281288471326,37.8281288471326,16
GPT-175B,C-hi,8,A3a,1,37.8281288471326,78.3349472767312,40.5068184295986,16
GPT-175B,C-hi,8,A3b,0,0.0,37.42791566063194,37.42791566063194,16
GPT-175B,C-hi,8,A3b,1,37.42791566063194,83.21158312100154,45.7836674603696,16
GPT-175B,C-hi,8,A4,0,0.0,37.49354043028544,37.49354043028544,16
GPT-175B,C-hi,8,A4,1,37.49354043028544,77.5426618385978,40.04912140831235,16
GPT-175B,C-hi,8,A4b,0,0.0,37.49354043028544,37.49354043028544,16
GPT-175B,C-hi,8,A4b,1,37.49354043028544,77.5426618385978,40.04912140831235,16
GPT-175B,C-hi,8,A5,0,0.0,29.798571609046682,29.798571609046682,16
GPT-175B,C-hi,8,A5,1,29.798571609046682,60.10149543351901,30.30292382447233,16
GPT-175B,C-hi,8,A6,0,0.0,29.798571609046682,29.798571609046682,16
GPT-175B,C-hi,8,A6,1,29.798571609046682,60.10149543351901,30.30292382447233,16
GPT-175B,C-lo,8,A1,0,0.0,35.64118263276378,35.64118263276378,16
GPT-175B,C-lo,8,A1,1,35.64118263276378,95.04134472702573,59.40016209426195,16
GPT-175B,C-lo,8,A2,0,0.0,87.72506183318411,87.72506183318411,16
GPT-175B,C-lo,8,A2,1,87.72506183318411,242.25000839571933,154.5249465625352,16
GPT-175B,C-lo,8,A3,0,0.0,19.114490969261936,19.114490969261936,16
GPT-175B,C-lo,8,A3,1,19.114490969261936,44.754169025283474,25.639678056021538,16
GPT-175B,C-lo,8,A3a,0,0.0,19.114490969261936,19.114490969261936,16
GPT-175B,C-lo,8,A3a,1,19.114490969261936,42.84362404894835,23.729133079686413,16
GPT-175B,C-lo,8,A3b,0,0.0,19.176923931854184,19.176923931854184,16
GPT-175B,C-lo,8,A3b,1,19.176923931854184,44.68472050171058,25.507796569856396,16
GPT-175B,C-lo,8,A4,0,0.0,19.165169523856473,19.165169523856473,16
GPT-175B,C-lo,8,A4,1,19.165169523856473,42.88406821765384,23.718898693797367,16
GPT-175B,C-lo,8,A4b,0,0.0,19.165169523856473,19.165169523856473,16
GPT-175B,C-lo,8,A4b,1,19.165169523856473,42.88406821765384,23.718898693797367,16
GPT-175B,C-lo,8,A5,0,0.0,17.242196689722352,17.242196689722352,16
GPT-175B,C-lo,8,A5,1,17.242196689722352,38.10862974787967,20.866433058157316,16
GPT-175B,C-lo,8,A6,0,0.0,17.242196689722352,17.242196689722352,16
GPT-175B,C-lo,8,A6,1,17.242196689722352,38.10862974787967,20.866433058157316,16
GPT-175B,D-hi,8,A2,0,0.0,155.55895948814853,155.55895948814853,16
GPT-175B,D-hi,8,A2,1,155.55895948814853,377.3705625694912,221.81160308134267,16
GPT-175B,D-hi,8,A2,2,377.3705625694912,603.3223087690305,225.95174619953934,16
