model,workload,baseline,variant,metric,reduction_percent
LLAMA-7B,KVChime-EPIC-shared-readers-B2,F2,F3,E2E_energy_mJ,0.1699961125254834
LLAMA-7B,KVChime-EPIC-shared-readers-B2,F2,F3,simultaneous_peak_KV_GiB,63.747026582416666
LLAMA-7B,KVChime-EPIC-shared-readers-B2,F3,F4,TTFT_ms,-2.4403728953887427
LLAMA-7B,KVChime-EPIC-shared-readers-B2,F3,F4,TBT_ms,5.230622658225825
LLAMA-7B,KVChime-EPIC-shared-readers-B2,F3,F4,E2E_ms,2.014523334715679
LLAMA-7B,KVChime-EPIC-shared-readers-B2,F3,F4,TTFT_energy_mJ,11.147476821491754
LLAMA-7B,KVChime-EPIC-shared-readers-B2,F3,F4,TBT_energy_mJ,4.303139810337841
LLAMA-7B,KVChime-EPIC-shared-readers-B2,F3,F4,E2E_energy_mJ,6.887816095311949
LLAMA-7B,KVChime-EPIC-shared-readers-B2,F3,F4,simultaneous_peak_KV_GiB,5.289804836032852
LLAMA-7B,KVChime-EPIC-shared-readers-B2,F0,F4,TTFT_ms,95.71089151621554
LLAMA-7B,KVChime-EPIC-shared-readers-B2,F0,F4,TBT_ms,42.440486012905055
LLAMA-7B,KVChime-EPIC-shared-readers-B2,F0,F4,E2E_ms,91.06752706274239
LLAMA-7B,KVChime-EPIC-shared-readers-B2,F0,F4,TTFT_energy_mJ,97.51690126421498
LLAMA-7B,KVChime-EPIC-shared-readers-B2,F0,F4,TBT_energy_mJ,36.0974176769996
LLAMA-7B,KVChime-EPIC-shared-readers-B2,F0,F4,E2E_energy_mJ,93.55400944911439
LLAMA-7B,KVChime-EPIC-shared-readers-B2,F0,F4,simultaneous_peak_KV_GiB,47.496506211180126
LLAMA-7B,KVChime-EPIC-shared-readers-B4,F0,F1,TTFT_ms,95.79955182494916
LLAMA-7B,KVChime-EPIC-shared-readers-B4,F0,F1,TBT_ms,-3.412825577697731e-11
LLAMA-7B,KVChime-EPIC-shared-readers-B4,F0,F1,E2E_ms,89.37815579102545
LLAMA-7B,KVChime-EPIC-shared-readers-B4,F0,F1,TTFT_energy_mJ,97.33672909726583
LLAMA-7B,KVChime-EPIC-shared-readers-B4,F0,F1,TBT_energy_mJ,-1.6109336087311021e-10
LLAMA-7B,KVChime-EPIC-shared-readers-B4,F0,F1,E2E_energy_mJ,92.81836551350816
LLAMA-7B,KVChime-EPIC-shared-readers-B4,F0,F1,simultaneous_peak_KV_GiB,-25.06521739130434
LLAMA-7B,KVChime-EPIC-shared-readers-B4,F1,F2,TTFT_ms,-40.486435712765555
LLAMA-7B,KVChime-EPIC-shared-readers-B4,F1,F2,TBT_ms,58.69907875852158
LLAMA-7B,KVChime-EPIC-shared-readers-B4,F1,F2,E2E_ms,22.104911754192724
LLAMA-7B,KVChime-EPIC-shared-readers-B4,F1,F2,TTFT_energy_mJ,-2.127629658482344
LLAMA-7B,KVChime-EPIC-shared-readers-B4,F1,F2,TBT_energy_mJ,47.16382945269366
LLAMA-7B,KVChime-EPIC-shared-readers-B4,F1,F2,E2E_energy_mJ,29.732886196608497
LLAMA-7B,KVChime-EPIC-shared-readers-B4,F1,F2,simultaneous_peak_KV_GiB,-2.3450497876884135
LLAMA-7B,KVChime-EPIC-shared-readers-B4,F2,F3,TTFT_ms,28.818750726613164
LLAMA-7B,KVChime-EPIC-shared-readers-B4,F2,F3,TBT_ms,-15.28906485863053
