device,name,kind,m,n,k,numOp,time_us,energy_J,energy_offchip_pJ,energy_L2_pJ,energy_L1_pJ,energy_reg_pJ,energy_alu_pJ,energy_link_pJ
GPU,score,MATMUL,346,16045,128,32,614.9431384615385,0.031015770773120004,14060609853.439999,1739600179.2,7795110215.68,143896694.4,7276553830.400001,0
GPU,softmax,SOFTMAX,346,16045,1,32,841.7374140109505,0.0232135568608,20408459571.2,1705442304.0,909569228.8000001,47965564.800000004,142120192.0,0
GPU,context,MATMUL,346,128,16045,32,614.9431384615385,0.029999315113600003,14060609853.439999,1174981324.8,7343273410.56,143896694.4,7276553830.400001,0
PIM,score,MATMUL,346,16045,128,32,1895.9079800000004,0.064048785408,56772231577.600006,0,0,0,7276553830.400001,0
PIM,softmax,SOFTMAX,346,16045,1,32,264.9914081145585,0.000144536235264,2416043.264,0,0,0,142120192.0,0
GPU,comm_x2g,X2G,15699,8192,1,1,857.37472,0.0026750091264,0,0,0,0,0,2675009126.4
GPU,comm_x2g,X2G,346,8192,1,1,18.896213333333332,5.89561856e-05,0,0,0,0,0,58956185.6
GPU,comm_x2g,X2G,16045,8192,1,1,876.2709333333333,0.002733965312,0,0,0,0,0,2733965312.0
GPU,comm_x2g,X2G,346,4096,1,1,9.448106666666666,2.94780928e-05,0,0,0,0,0,29478092.8
GPU,qkv,FC,12,12288,4096,1,39.9019289625158,0.0037087346688,2902343024.64,264948940.79999998,225863270.4,122305904.64000002,193273528.32,0
GPU,proj,FC,12,4096,4096,1,12.493612242032853,0.0013513732915199999,969329868.8,201562521.6,75287756.8,40768634.88,64424509.44,0
GPU,comm_g2g,G2G,12,4096,1,1,0.0,1.0223616e-06,0,0,0,0,0,1022361.6000000001
GPU,norm1,NORM,12,4096,1,1,7.088896496420048,9.61437696e-06,8469872.64,707788.7999999999,377487.36,19906.56,39321.6,0
