q,gpu_service_us,gpu_throughput_tokens_per_second,source_panels,source_kind
695,501.7401344918772,1385179.2037801424,e,integer-refinement
696,502.64131581780947,1384685.2180616932,e,integer-refinement
697,503.5432434636803,1384190.9489353984,e,integer-refinement
698,504.44591742948995,1383696.4001152106,e,integer-refinement
699,505.34933771523816,1383201.5752910376,e,integer-refinement
700,506.25350432092506,1382706.4781288998,e,integer-refinement
701,507.1584172465506,1382211.1122710896,e,integer-refinement
702,508.06407649211485,1381715.4813363291,e,integer-refinement
703,508.97048205761763,1381219.5889199276,e,integer-refinement
704,509.8776339430592,1380723.4385939343,e,integer-refinement
705,510.7855321484395,1380227.0339072952,e,integer-refinement
706,511.6941766737583,1379730.3783860053,e,integer-refinement
707,512.6035675190158,1379233.4755332596,e,integer-refinement
708,513.5137046842119,1378736.3288296044,e,integer-refinement
709,514.4245881693466,1378238.9417330883,e,integer-refinement
710,515.3362179744203,1377741.3176794073,e,integer-refinement
711,516.2485940994324,1377243.4600820579,e,integer-refinement
712,517.1617165443831,1376745.3723324777,e,integer-refinement
713,518.0755853092727,1376247.0578001942,e,integer-refinement
714,518.9902003941007,1375748.519832969,e,integer-refinement
715,519.9055617988676,1375249.7617569389,e,integer-refinement
716,520.821669523573,1374750.7868767607,e,integer-refinement
717,521.7385235682171,1374251.5984757498,e,integer-refinement
718,522.6561239327999,1373752.1998160235,e,integer-refinement
719,523.5744706173213,1373252.5941386372,e,integer-refinement
720,524.4935636217814,1372752.784663723,e,integer-refinement
721,525.4134029461801,1372252.7745906294,e,integer-refinement
722,526.3339885905175,1371752.5670980534,e,integer-refinement
723,527.2553205547936,1371252.1653441791,e,integer-refinement
724,528.1773988390083,1370751.5724668098,e,integer-refinement
725,529.1002234431618,1370250.7915835015,e,integer-refinement
726,530.0237943672538,1369749.8257916968,e,integer-refinement
727,530.9481116112845,1369248.678168853,e,integer-refinement
728,531.8731751752539,1368747.3517725756,e,integer-refinement
729,532.7989850591619,1368245.849640746,e,integer-refinement
730,533.7255412630087,1367744.1747916488,e,integer-refinement
731,534.6528437867939,1367242.330224104,e,integer-refinement
732,535.580892630518,1366740.318917587,e,integer-refinement
733,536.5096877941806,1366238.1438323595,e,integer-refinement
734,537.439229277782,1365735.8079095918,e,integer-refinement
735,538.369517081322,1365233.3140714883,e,integer-refinement
736,539.3005512048006,1364730.665221409,e,integer-refinement
737,540.232331648218,1364227.8642439914,e,integer-refinement
738,541.164858411574,1363724.914005274,e,integer-refinement
739,542.0981314948685,1363221.817352815,e,integer-refinement
740,543.0321508981018,1362718.5771158116,e,integer-refinement
741,543.9669166212739,1362215.1961052192,e,integer-refinement
742,544.9024286643844,1361711.6771138704,e,integer-refinement
743,545.8386870274337,1361208.0229165892,e,integer-refinement
744,546.7756917104216,1360704.2362703106,e,integer-refinement
745,547.7134427133482,1360200.3199141927,e,integer-refinement
746,548.6519400362134,1359696.2765697334,e,integer-refinement
747,549.5911836790174,1359192.1089408833,e,integer-refinement
748,550.53117364176,1358687.819714159,e,integer-refinement
749,551.4719099244412,1358183.411558755,e,integer-refinement
750,552.4133925270612,1357678.8871266542,e,integer-refinement
751,553.3556214496197,1357174.2490527404,e,integer-refinement
752,554.2985966921169,1356669.4999549054,e,integer-refinement
753,555.2423182545529,1356164.6424341605,e,integer-refinement
754,556.1867861369274,1355659.6790747435,e,integer-refinement
755,557.1320003392406,1355154.6124442262,e,integer-refinement
756,558.0779608614924,1354649.4450936203,e,integer-refinement
757,559.0246677036829,1354144.1795574862,e,integer-refinement
758,559.9721208658121,1353638.8183540336,e,integer-refinement
759,560.92032034788,1353133.3639852304,e,integer-refinement
760,561.8692661498865,1352627.8189369044,e,integer-refinement
761,562.8189582718317,1352122.1856788455,e,integer-refinement
762,563.7693967137154,1351616.46666491,e,integer-refinement
763,564.7205814755379,1351110.6643331202,e,integer-refinement
764,565.6725125572991,1350604.7811057665,e,integer-refinement
765,566.6251899589988,1350098.819389508,e,integer-refinement
766,567.5786136806373,1349592.781575469,e,integer-refinement
767,568.5327837222144,1349086.6700393427,e,integer-refinement
768,569.4877000837303,1348580.4871414835,"b,e",original-published
1024,838.4972293339382,1221232.4193526749,"b,e",original-published
1536,1523.2487583344673,1008371.0829211343,"b,e",original-published
2048,2403.6435813351477,852039.8015343028,"b,e",original-published
