panel,source_panel,sample,model,q,cached_tokens,link_GBps,mode,gpu_service_us,pim_service_us,gpu_throughput_tokens_per_us,pim_throughput_tokens_per_us,gpu_throughput_tokens_per_second,pim_throughput_tokens_per_second,pim_over_gpu_throughput,displayed,original_marker,source_kind
B,e,2,LLAMA-7B,4,1024,300,mq,77.19958330665918,2.5071791829753383,0.05181375117156834,1.5954184795253008,51813.75117156834,1595418.479525301,30.791410454774244,false,true,original-published
B,e,3,LLAMA-7B,8,1024,300,mq,78.61148278721512,3.6716738122513926,0.10176630329762804,2.1788427864441937,101766.30329762804,2178842.7864441937,21.410257775325697,false,true,original-published
B,e,4,LLAMA-7B,12,1024,300,mq,80.03308604426974,6.181907887828162,0.1499379893130984,1.9411483020682567,149937.9893130984,1941148.3020682568,12.946340757009741,false,true,original-published
B,e,5,LLAMA-7B,16,1024,300,mq,81.46439307782302,7.349457409705649,0.1964048266426681,2.1770314606994656,196404.82664266808,2177031.4606994656,11.08440916607553,true,true,original-published
B,e,6,LLAMA-7B,24,1024,300,mq,84.35611847442559,11.276698792362769,0.2845081119667227,2.1282824381417536,284508.1119667227,2128282.4381417534,7.480568562455212,true,true,original-published
B,e,7,LLAMA-7B,32,1024,300,mq,87.2866589770228,15.41437462688942,0.3666081435013297,2.0759843181816784,366608.1435013297,2075984.3181816784,5.662679225711605,true,true,original-published
B,e,8,LLAMA-7B,48,1024,300,mq,93.26418530020123,23.80956365155131,0.5146670165562088,2.0159966265014924,514667.01655620884,2015996.6265014925,3.9170892278878284,true,true,original-published
B,e,9,LLAMA-7B,64,1024,300,mq,99.39697204735833,32.24764781702466,0.6438827932253991,1.9846408756117764,643882.7932253991,1984640.8756117765,3.0823014630816954,true,true,original-published
B,e,10,LLAMA-7B,96,1024,300,mq,112.12832681360851,49.36323757040573,0.8561618881514329,1.94476709237471,856161.8881514329,1944767.09237471,2.271494584480653,true,true,original-published
B,e,11,LLAMA-7B,128,1024,300,mq,125.48072327577333,67.15487188703261,1.0200770019367036,1.9060419058697717,1020077.0019367036,1906041.9058697717,1.868527476113066,true,true,original-published
B,e,12,LLAMA-7B,192,1024,300,mq,154.0486412878469,104.17568221002387,1.2463595809406671,1.843040486290433,1246359.580940667,1843040.486290433,1.4787389726642386,true,true,original-published
B,e,13,LLAMA-7B,256,1024,300,mq,185.10072608357905,143.88836678599841,1.383030771496853,1.7791570348473162,1383030.771496853,1779157.0348473163,1.286418980339632,true,true,original-published
B,e,14,LLAMA-7B,384,1024,300,mq,257.6812002709893,235.9664466968974,1.4902134870381236,1.6273500125772289,1490213.4870381237,1627350.012577229,1.092024751307057,true,true,original-published
B,e,15,LLAMA-7B,512,1024,300,mq,349.38899433356016,331.94639161972975,1.4654153631158622,1.5424177304705742,1465415.3631158622,1542417.7304705742,1.0525464447096995,true,false,integer-refinement
B,e,16,LLAMA-7B,513,1024,300,mq,350.15359911071755,351.7121685823386,1.4650713324177225,1.4585790479407386,1465071.3324177226,1458579.0479407385,0.9955686222688761,true,false,integer-refinement
B,e,17,LLAMA-7B,514,1024,300,mq,350.9189502078137,352.34301401034185,1.4647256857904367,1.4588057079653445,1464725.6857904368,1458805.7079653444,0.9959583027166635,true,false,integer-refinement
B,e,18,LLAMA-7B,515,1024,300,mq,351.68504762484844,352.69096290373875,1.4643784359844718,1.4602018598944393,1464378.4359844718,1460201.8598944393,0.9971478847356663,true,false,integer-refinement
B,e,19,LLAMA-7B,516,1024,300,mq,352.4518913618218,353.0497732625295,1.4640295956598575,1.4615502942592173,1464029.5956598574,1461550.2942592173,0.9983065223490085,true,false,integer-refinement
B,e,20,LLAMA-7B,517,1024,300,mq,353.2194814187339,353.4309800867141,1.4636791773869005,1.4628032887019535,1463679.1773869004,1462803.2887019536,0.9994015842416295,true,false,integer-refinement
B,e,21,LLAMA-7B,518,1024,300,mq,353.9878177955846,354.0968123762925,1.4633271936468917,1.4628767667344331,1463327.1936468917,1462876.7667344331,0.999692189884522,true,false,integer-refinement
B,e,22,LLAMA-7B,519,1024,300,mq,354.756900492374,354.4812861312646,1.4629736568328053,1.464111140151455,1462973.6568328054,1464111.140151455,1.000777514559703,true,false,integer-refinement
B,e,23,LLAMA-7B,520,1024,300,mq,355.52672950910204,354.89353935163064,1.4626185792499948,1.4652281384158445,1462618.5792499948,1465228.1384158446,1.0017841692994136,true,false,integer-refinement
B,e,24,LLAMA-7B,521,1024,300,mq,356.2973048457687,357.3852640373904,1.4622619731168796,1.4578105266967354,1462261.9731168796,1457810.5266967353,0.9969557804948894,true,false,integer-refinement
B,e,25,LLAMA-7B,522,1024,300,mq,357.06862650237406,358.01687318854385,1.461903850565626,1.4580318389773128,1461903.850565626,1458031.838977313,0.997351391073486,true,false,integer-refinement
